iter	Passed	Remaining
0	609	121301
1	1297	128499
2	1825	119895
3	2585	126712
4	3188	124350
5	3809	123189
6	4489	123780
7	5059	121423
8	5781	122693
9	6516	123822
10	7213	123939
11	7429	116396
12	8140	117100
13	8808	117032
14	9343	115240
15	10022	115253
16	10547	113545
17	11154	112784
18	11481	109376
19	12259	110339
20	12916	110093
21	13246	107175
22	13751	105824
23	14327	105070
24	14864	104048
25	15545	104033
26	15899	101873
27	16414	100833
28	16689	98412
29	17366	98408
30	17541	95626
31	18109	95074
32	18399	93114
33	18974	92638
34	19318	91074
35	20027	91236
36	20692	91160
37	21291	90770
38	21981	90745
39	22552	90208
40	23229	90083
41	23471	88298
42	24017	87691
43	24762	87793
44	25367	87377
45	26010	87077
46	26502	86274
47	27168	86032
48	27741	85490
49	28171	84515
50	28568	83463
51	29103	82832
52	29763	82551
53	30437	82293
54	30715	80977
55	30977	79656
56	31235	78361
57	32014	78380
58	32695	78135
59	33291	77679
60	33885	77215
61	34538	76875
62	35244	76642
63	35805	76086
64	36365	75528
65	37028	75179
66	37292	74028
67	37830	73435
68	38475	73048
69	39133	72676
70	39426	71633
71	40077	71249
72	40633	70691
73	41242	70223
74	41530	69217
75	42100	68689
76	42683	68181
77	43223	67605
78	43957	67327
79	44322	66483
80	45042	66174
81	45543	65538
82	45862	64649
83	46463	64163
84	47231	63901
85	47694	63222
86	48453	62933
87	49135	62536
88	49737	62032
89	50377	61572
90	50959	61039
91	51503	60460
92	51983	59809
93	52514	59218
94	53032	58614
95	53685	58159
96	54348	57709
97	54895	57135
98	55248	56364
99	55954	55954
100	56521	55402
101	57256	55011
102	57554	54201
103	58308	53822
104	58815	53214
105	59593	52847
106	60158	52287
107	60872	51853
108	61401	51261
109	61960	50694
110	62471	50089
111	62865	49394
112	63395	48808
113	64129	48378
114	64692	47815
115	64971	47048
116	65184	46241
117	65722	45671
118	65924	44872
119	66718	44478
120	67484	44059
121	67861	43386
122	68436	42842
123	68983	42280
124	69592	41755
125	70133	41189
126	70657	40613
127	71224	40064
128	71449	39324
129	72024	38782
130	72529	38202
131	72728	37465
132	73403	36977
133	73752	36325
134	74010	35634
135	74664	35136
136	75290	34622
137	75869	34086
138	76538	33588
139	76862	32941
140	77613	32476
141	77911	31823
142	78428	31261
143	78935	30697
144	79612	30197
145	80195	29661
146	81045	29220
147	81271	28554
148	81737	27977
149	82336	27445
150	82912	26905
151	83537	26380
152	84208	25868
153	84813	25333
154	85390	24790
155	85949	24242
156	86610	23721
157	87124	23159
158	87426	22543
159	87749	21937
160	88240	21375
161	88512	20762
162	89216	20251
163	89986	19753
164	90573	19212
165	91213	18682
166	91787	18137
167	92359	17592
168	92937	17047
169	93685	16532
170	94343	15999
171	94993	15464
172	95229	14862
173	95775	14311
174	96495	13785
175	96756	13194
176	97206	12631
177	97823	12090
178	98386	11542
179	98925	10991
180	99303	10424
181	99745	9864
182	100371	9324
183	100997	8782
184	101770	8251
185	102535	7717
186	103283	7180
187	103980	6637
188	104632	6089
189	105349	5544
190	106019	4995
191	106368	4432
192	107073	3883
193	107682	3330
194	108253	2775
195	108945	2223
196	109621	1669
197	109911	1110
198	110551	555
199	111161	0
