iter	Passed	Remaining
0	1377	1376289
1	2611	1302972
2	3760	1249765
3	4791	1193164
4	6141	1222077
5	7218	1195786
6	8361	1186085
7	9559	1185364
8	10815	1190887
9	11985	1186551
10	13125	1180065
11	14237	1172213
12	15418	1170594
13	16368	1152783
14	17525	1150822
15	18642	1146487
16	19734	1141125
17	20788	1134133
18	21941	1132867
19	22952	1124691
20	24009	1119304
21	25265	1123183
22	26321	1118074
23	27441	1115962
24	28643	1117112
25	29831	1117530
26	30965	1115900
27	32105	1114502
28	33314	1115467
29	34427	1113140
30	35477	1108950
31	36606	1107336
32	37665	1103717
33	38747	1100879
34	39800	1097364
35	40979	1097346
36	42143	1096869
37	43236	1094577
38	44350	1092841
39	45484	1091629
40	46526	1088272
41	47698	1087976
42	48945	1089327
43	50135	1089317
44	51380	1090411
45	52529	1089425
46	53576	1086356
47	54880	1088472
48	55943	1085759
49	57162	1086081
50	58393	1086572
51	59607	1086691
52	60678	1084203
53	61794	1082543
54	63094	1084086
55	64341	1084613
56	65600	1085289
57	66746	1084053
58	67700	1079766
59	68697	1076261
60	69837	1075039
61	71094	1075596
62	72075	1071978
63	73272	1071603
64	74485	1071446
65	75594	1069782
66	76824	1069810
67	77862	1067174
68	79084	1067061
69	80272	1066481
70	81472	1066031
71	82804	1067252
72	84146	1068543
73	85376	1068366
74	86582	1067851
75	87765	1067038
76	88943	1066161
77	90030	1064212
78	91278	1064143
79	92577	1064643
80	93782	1064020
81	94893	1062340
82	96038	1061051
83	97264	1060644
84	98708	1062572
85	99790	1060562
86	101198	1061998
87	102221	1059389
88	103600	1060455
89	104809	1059740
90	106167	1060511
91	107478	1060768
92	108713	1060244
93	109991	1060135
94	111211	1059435
95	112458	1058988
96	113574	1057293
97	114764	1056298
98	116159	1057167
99	117420	1056782
100	118614	1055782
101	119948	1056018
102	121270	1056112
103	122446	1054921
104	123612	1053647
105	124936	1053707
106	126143	1052765
107	127368	1051967
108	128396	1049554
109	129469	1047522
110	130601	1045985
111	131850	1045389
112	133169	1045321
113	134111	1042306
114	135254	1040868
115	136442	1039787
116	137583	1038342
117	138947	1038573
118	140111	1037298
119	141426	1037126
120	142750	1037009
121	144007	1036381
122	145100	1034581
123	146386	1034153
124	147606	1033242
125	148962	1033276
126	150230	1032684
127	151620	1032913
128	152812	1031782
129	154109	1031347
130	155289	1030127
131	156517	1029222
132	157843	1028950
133	159099	1028208
