iter	MultiClass
0	8.272716537e-06
1	8.25736721e-06
2	8.255459855e-06
3	8.255402426e-06
4	8.255330062e-06
5	8.254436846e-06
6	8.254180282e-06
7	8.252374842e-06
8	8.251777201e-06
9	8.251006246e-06
10	8.250237537e-06
11	8.250137115e-06
12	8.248132576e-06
13	8.247505866e-06
14	8.247185909e-06
15	8.246974537e-06
16	8.24695968e-06
17	8.246499912e-06
18	8.245917295e-06
19	8.2454592e-06
20	8.244147886e-06
21	8.244131941e-06
22	8.244057333e-06
23	8.244041405e-06
24	8.243883488e-06
25	8.243645859e-06
26	8.24296532e-06
27	8.241926556e-06
28	8.241847526e-06
29	8.24179267e-06
30	8.241187916e-06
31	8.240760544e-06
32	8.240384911e-06
33	8.239178411e-06
34	8.235821084e-06
35	8.235759493e-06
36	8.23518617e-06
37	8.232631909e-06
38	8.232298397e-06
39	8.23015152e-06
40	8.229993156e-06
41	8.229958238e-06
42	8.229389657e-06
43	8.225778254e-06
44	8.225691568e-06
45	8.225474877e-06
46	8.224645512e-06
47	8.224202489e-06
48	8.220247408e-06
49	8.220215086e-06
50	8.218639006e-06
51	8.217608777e-06
52	8.217587344e-06
53	8.215851125e-06
54	8.215072837e-06
55	8.214309085e-06
56	8.214197464e-06
57	8.213951186e-06
58	8.213142646e-06
59	8.21246088e-06
60	8.21217715e-06
61	8.2120823e-06
62	8.208329567e-06
63	8.208246932e-06
64	8.207940711e-06
65	8.205916974e-06
66	8.205235848e-06
67	8.204078988e-06
68	8.203997946e-06
69	8.201841685e-06
70	8.200887493e-06
71	8.200779093e-06
72	8.200372926e-06
73	8.198377172e-06
74	8.198022168e-06
75	8.197746518e-06
76	8.197566657e-06
77	8.1968437e-06
78	8.196641986e-06
79	8.196387334e-06
80	8.196368257e-06
81	8.196261289e-06
82	8.19412253e-06
83	8.192931986e-06
84	8.192046599e-06
85	8.190354558e-06
86	8.182973613e-06
87	8.182870977e-06
88	8.18269516e-06
89	8.182634783e-06
90	8.182628998e-06
91	8.182402845e-06
92	8.182396925e-06
93	8.177293892e-06
94	8.177284224e-06
95	8.177216702e-06
96	8.175606637e-06
97	8.175551614e-06
98	8.174056234e-06
99	8.173880867e-06
100	8.172270944e-06
101	8.170494074e-06
102	8.170129941e-06
103	8.169578149e-06
104	8.16787373e-06
105	8.166985075e-06
106	8.166861721e-06
107	8.165858702e-06
108	8.165779407e-06
109	8.165617111e-06
110	8.164055603e-06
111	8.161799378e-06
112	8.161537102e-06
113	8.16151489e-06
114	8.161363905e-06
115	8.161265006e-06
116	8.161093523e-06
117	8.15755674e-06
118	8.155572467e-06
119	8.153406144e-06
120	8.153315533e-06
121	8.153293402e-06
122	8.152593326e-06
123	8.151463074e-06
124	8.151416229e-06
125	8.149110415e-06
