iter	Accuracy	MultiClass
0	0.8748533551	1.273041719
1	0.8748533551	1.022606292
2	0.8847956538	0.8589376195
3	0.9289971894	0.7313368218
4	0.9387179438	0.627063471
5	0.9647378781	0.5326816179
6	0.9769257154	0.468846626
7	0.9763642008	0.4167412723
8	0.9822135391	0.361969963
9	0.9825870451	0.3245576491
10	0.9826370435	0.2937839924
11	0.985379858	0.2595750095
12	0.988682906	0.2327363124
13	0.9886454079	0.2101188886
14	0.9880706825	0.1931637427
15	0.9881041781	0.1777901095
16	0.9892754302	0.1632500894
17	0.9892254252	0.1529024745
18	0.9891264203	0.1389956991
19	0.9893131733	0.1274556023
20	0.9901964264	0.119086697
21	0.9900831494	0.1117544709
22	0.9904828836	0.1026892503
23	0.9904121357	0.0928760935
24	0.9910286461	0.08622593773
25	0.9914583987	0.081010012
26	0.9914660494	0.0770123237
27	0.9941369386	0.0725416488
28	0.9946079301	0.06826202269
29	0.9947329332	0.06497540724
30	0.9948746748	0.06135216921
31	0.9949454226	0.0586754964
32	0.994966173	0.0550125692
33	0.9950076736	0.05162901645
34	0.9950201739	0.04896336909
35	0.9950409243	0.04622470598
36	0.9950409243	0.04451840396
37	0.9950409243	0.04306543096
38	0.9950409243	0.0418189021
39	0.9953284296	0.04025442344
40	0.9955029347	0.03898093364
41	0.9954529334	0.03771956483
42	0.9954529372	0.03589665182
43	0.9956446912	0.03476191547
44	0.9956446912	0.03328958918
45	0.9954486859	0.0324542977
46	0.9958024439	0.0316542492
47	0.9958149432	0.03033490598
48	0.9958356936	0.0297596845
49	0.9958814445	0.02872834874
50	0.9960439486	0.02782832355
51	0.9961939486	0.0266859887
52	0.9964814586	0.02582155743
53	0.9964814586	0.02535482204
54	0.996531457	0.02425500063
55	0.9965689579	0.02365965991
56	0.9965689579	0.0229795868
57	0.9965939567	0.02225827734
58	0.9966314576	0.0219162992
59	0.9966314576	0.02123401368
60	0.996660457	0.02031988092
61	0.9968104561	0.01972100186
62	0.9968229574	0.01936331406
63	0.9968062067	0.01882966154
64	0.9968437077	0.01848788328
65	0.9968312083	0.01829961603
66	0.9968437077	0.01803182851
67	0.9969394561	0.01772416262
68	0.9969394571	0.01724604474
69	0.9969394571	0.01709366894
70	0.9969187067	0.01669147805
71	0.9970937111	0.01635865015
72	0.9972269643	0.01578785959
73	0.9972644624	0.01557250934
74	0.9973144618	0.01536295713
75	0.9973269621	0.01515950051
76	0.9973519618	0.01470382566
77	0.9973519618	0.01442148199
78	0.9973519618	0.0140189478
79	0.9974019593	0.01357249642
80	0.9973894599	0.01339221827
81	0.9973894599	0.01323951136
82	0.9974644571	0.01296674668
83	0.9974769564	0.01283500583
84	0.9974769564	0.01270685825
85	0.9974894568	0.01258428671
86	0.997464458	0.01232498647
87	0.997501958	0.01213917881
88	0.9975269568	0.01194823834
89	0.997555958	0.01167644941
90	0.9975642099	0.01147188658
91	0.997555959	0.01135837144
92	0.9975434596	0.01123967392
93	0.997555959	0.01114620172
94	0.9976059602	0.01092880537
95	0.9976184596	0.01082407504
96	0.997630959	0.01069794685
97	0.9977059599	0.01054200372
98	0.9977059599	0.01040760798
99	0.9977059599	0.01030845598
100	0.9979017128	0.01008868777
101	0.9978809624	0.00997229115
102	0.997959964	0.009820437933
103	0.9979849628	0.009601251047
104	0.9980182143	0.00945898216
105	0.998043215	0.00933348108
106	0.9980639653	0.009236617789
107	0.9981262163	0.009093154198
108	0.9981387166	0.008991621952
109	0.9981637172	0.008896781876
110	0.9981887169	0.008810686938
111	0.9981887169	0.008692920914
112	0.9981887169	0.008638664136
113	0.9981887169	0.008538431874
114	0.9981887169	0.008481662861
115	0.9983424698	0.008353960049
116	0.9983632202	0.008267509598
117	0.9983632202	0.008174281533
118	0.9983424698	0.008090553877
119	0.9982844691	0.008018342979
120	0.9982969685	0.00794172709
121	0.9983924701	0.007912141014
122	0.9984049695	0.007864026354
123	0.9983677191	0.007795462125
124	0.9984424705	0.007701162946
125	0.9983469688	0.007594133233
126	0.9983927198	0.007540221286
127	0.9983927198	0.007501092078
128	0.9984882214	0.007420644135
129	0.9984882214	0.007356101921
130	0.9984882214	0.007307788907
131	0.9984757211	0.007253151442
132	0.9984757211	0.00719976666
133	0.9984882214	0.007168973674
134	0.998513222	0.007081939604
135	0.9985632233	0.007005241321
136	0.9987007267	0.006943821663
137	0.9987007267	0.006900882525
138	0.9986882264	0.006831676696
139	0.9986882264	0.006810717509
140	0.9986882264	0.006747708727
141	0.9986882264	0.006677107551
142	0.9986132245	0.006643489542
143	0.9986882264	0.006620449922
144	0.9987007267	0.006589412046
145	0.9986799764	0.006566678349
146	0.9986424745	0.006513845145
147	0.9986299751	0.006484632128
148	0.9986924767	0.006450807373
149	0.9987049761	0.006440390719
150	0.9987049761	0.006425517958
151	0.9987924783	0.006387364119
152	0.9987674776	0.006351812918
153	0.9987799779	0.006277293099
154	0.9987799779	0.00626585759
155	0.9987174764	0.006222630839
156	0.9987174764	0.00619547079
157	0.9987174764	0.006181984602
158	0.9987174764	0.006147515576
159	0.9987174764	0.006131415307
160	0.9987049761	0.00611295157
161	0.9987299767	0.006086402223
162	0.9987299767	0.006049899684
163	0.9988174789	0.006016500246
164	0.9987674776	0.005982380248
165	0.9987799779	0.005956651401
166	0.9987799779	0.00591512859
167	0.9987924773	0.005901626
168	0.9988174779	0.005864529161
169	0.9988299783	0.005848590246
170	0.9988299783	0.005836744296
171	0.9988174779	0.005824401315
172	0.9988924798	0.005737616714
173	0.9988799804	0.005711492303
174	0.9988924798	0.005695614801
175	0.9988924798	0.005684882687
176	0.9988674801	0.005654610382
177	0.9988799795	0.005644467609
178	0.9988799795	0.005603855321
179	0.9988799795	0.005578607483
180	0.9988799795	0.005571283249
181	0.9988799795	0.005559446072
182	0.9989007298	0.005549920105
183	0.9988882305	0.005540804198
184	0.9988924808	0.005516418057
185	0.9988924798	0.005496434239
186	0.9988799795	0.005468069187
187	0.9988674801	0.005438278654
188	0.9988799795	0.005418750287
189	0.9988799795	0.005406097188
190	0.9989174804	0.005389797801
191	0.9989174804	0.005381407413
192	0.9989174804	0.005371310795
193	0.9989174804	0.005365709955
194	0.9989174804	0.005336194448
195	0.9989049811	0.005285743785
196	0.9989049811	0.005248431426
197	0.9989174814	0.005212195521
198	0.9989174814	0.005204089695
199	0.9989424811	0.005172752761
200	0.9989299817	0.005142796296
201	0.9989299817	0.005129237252
202	0.9989299817	0.005121665075
203	0.9989299817	0.005106026742
204	0.9989299817	0.005098878357
205	0.9989299817	0.005070448077
206	0.9989299817	0.005064021778
207	0.9989299817	0.005043513846
208	0.9989299817	0.005025687894
209	0.9989299817	0.005016650184
210	0.998942482	0.004999760693
211	0.998942482	0.004993278321
212	0.9989632323	0.004985089338
213	0.9989632323	0.004970321857
214	0.9989632323	0.004966546259
215	0.9989632323	0.004942097561
216	0.9989632323	0.004910646191
217	0.9989632323	0.004878425436
218	0.9989632323	0.004864990744
219	0.9989632323	0.004851321841
220	0.9989632323	0.004825108552
221	0.9989839827	0.004796471144
222	0.999004733	0.004763766328
223	0.999004733	0.004753754012
224	0.999004733	0.004744223467
225	0.999004733	0.004720995029
226	0.999004733	0.004687728718
227	0.9990172324	0.004657820698
228	0.9990172324	0.004652289663
229	0.9990172324	0.004638625338
230	0.9990172324	0.004633367041
231	0.9990172324	0.004622561307
232	0.9990172324	0.004617009674
233	0.9990172324	0.004601237452
234	0.9990172324	0.004579402835
235	0.9990172324	0.004577730174
236	0.9990172324	0.004548621675
237	0.9990172324	0.004527881058
238	0.9990379827	0.004493415847
239	0.9990379827	0.00448263033
240	0.9990629833	0.004474149156
241	0.9990629833	0.004472030198
242	0.9990629833	0.004441956628
243	0.9990754836	0.00441382922
244	0.999087984	0.004409873577
245	0.999087984	0.004392620182
246	0.999087984	0.004367107618
247	0.9991087343	0.00435451021
248	0.9991087343	0.004329969582
249	0.9991087343	0.004326364874
250	0.9991087343	0.004322808991
251	0.9991294846	0.004311210221
252	0.9991294846	0.004299468025
253	0.9991294846	0.004295478051
254	0.9991087343	0.004271696892
255	0.9991087343	0.004269391023
256	0.9991294846	0.004256764625
257	0.9991294846	0.004249561692
258	0.9991294846	0.004245479788
259	0.9991294846	0.004237616946
260	0.9991294846	0.004235567412
261	0.9991169852	0.004213669474
262	0.9991169852	0.004199808702
263	0.9991294846	0.004184961116
264	0.9991294846	0.004181854201
265	0.9991419849	0.004158241642
266	0.9991419849	0.00415030251
267	0.9991419849	0.004140062086
268	0.9991419849	0.004129895663
269	0.9991212346	0.004127507782
270	0.9991212346	0.004122530232
271	0.9991337349	0.004106784712
272	0.9991544852	0.004095984318
273	0.9991544852	0.004092299505
274	0.9991462352	0.004036061854
275	0.9991462352	0.004026412678
276	0.9991462352	0.004012722795
277	0.9991587355	0.003997361777
278	0.9991587355	0.003974515935
279	0.9991587355	0.0039569364
280	0.9991712359	0.003940883049
281	0.9991712359	0.00393596348
282	0.9991712359	0.003924275069
283	0.9991712359	0.00392018897
284	0.9991712359	0.003903018732
285	0.9991712359	0.0038867758
286	0.9991712359	0.003874976768
287	0.9991712359	0.003853406497
288	0.9991712359	0.003843488398
289	0.9991712359	0.003842164001
290	0.9991712359	0.003834030711
291	0.9991712359	0.003831101551
292	0.9991712359	0.003823322628
293	0.9991712359	0.003820858075
294	0.9991837362	0.003811252385
295	0.9991837362	0.0038072174
296	0.9991837362	0.003792913382
297	0.9991837362	0.003767893652
298	0.9991962365	0.003758453892
299	0.9991962365	0.003755681891
