iter	Passed	Remaining
0	1164	11644290
1	3209	16042687
2	5082	16935593
3	6249	15617341
4	8048	16089169
5	9872	16444431
6	11851	16918251
7	13757	17183737
8	15682	17409331
9	17327	17310086
10	19433	17647685
11	21248	17685682
12	23094	17741576
13	25009	17838915
14	26859	17879460
15	28705	17912068
16	30473	17895229
17	31384	17404290
18	33405	17548177
19	35442	17685963
20	37550	17843436
21	39447	17891053
22	41641	18063265
23	42650	17728377
24	44849	17895033
25	46863	17977728
26	48840	18040332
27	50432	17961316
28	51300	17638646
29	51937	17260714
30	53770	17291395
31	54189	16879877
32	54793	16549406
33	55903	16386256
34	58098	16541543
35	60370	16709232
36	62535	16838915
37	64533	16918021
38	64905	16577513
39	66760	16623397
40	68596	16662259
41	70707	16764524
42	72663	16825781
43	72878	16490514
44	75068	16606764
45	77264	16719321
46	79228	16777998
47	81249	16845789
48	83200	16896586
49	84000	16716027
50	86235	16822767
51	86450	16538573
52	88427	16595950
53	90528	16673981
54	92396	16707007
55	94530	16785928
56	96753	16877490
57	98812	16937762
58	100850	16992380
59	101058	16742101
60	103186	16812634
61	105313	16880791
62	107539	16962297
63	109536	17005479
64	111447	17034339
65	111869	16838099
66	113853	16879235
67	115817	16916109
68	117973	16979575
69	119906	17009574
70	121771	17029114
71	123715	17059054
72	125725	17096909
73	127848	17148993
74	129931	17194294
75	131865	17218858
76	132303	17049946
77	134491	17108004
78	136720	17169715
79	137536	17054506
80	139643	17100259
81	141599	17126648
82	143834	17185601
83	145854	17217786
84	147965	17259711
85	150021	17294305
86	152140	17335321
87	154183	17366663
88	156319	17407629
89	157461	17338302
90	159458	17363427
91	161405	17382660
92	163541	17421515
93	165711	17463177
94	167802	17495573
95	169912	17529274
96	172137	17574036
97	172731	17452908
98	174964	17498210
99	177041	17527098
100	179035	17547227
101	181233	17586791
102	183359	17618490
103	185211	17623554
104	187447	17664679
105	189461	17684267
106	189881	17556067
107	192004	17586159
108	192612	17478261
109	194488	17486239
110	196359	17493653
111	198348	17511322
112	200708	17561100
113	202573	17567031
114	204532	17580934
115	206431	17589360
116	208492	17611400
117	210761	17650398
118	212902	17678080
119	215096	17709590
120	217149	17729101
121	219411	17765157
122	221313	17771616
123	223315	17786011
124	225434	17809296
125	227423	17822026
126	229541	17844556
127	231671	17867629
128	233899	17897862
129	234092	17773034
130	236047	17782861
131	238199	17807186
132	240155	17816677
133	242458	17851468
134	244605	17874344
135	246802	17900448
136	248814	17912819
137	250945	17933497
138	253194	17962268
139	255149	17969781
140	257103	17977153
141	259229	17996374
142	261274	18009650
143	263427	18030178
144	265527	18046700
145	267755	18071670
146	269638	18073103
147	271594	18079386
148	273747	18098600
149	275926	18119180
150	278058	18136404
151	280132	18149609
152	282367	18173004
153	284600	18195946
154	286997	18228963
155	288907	18230802
156	291062	18247962
157	292950	18248197
158	295105	18264999
159	297036	18267747
160	299336	18293021
161	301527	18311299
162	303652	18325347
163	305780	18339389
164	307946	18355496
165	309951	18361830
166	312129	18378239
167	314106	18382680
168	316282	18398659
169	318310	18405860
170	320471	18420550
171	322577	18431952
172	324632	18440224
173	326855	18457947
174	329024	18472367
175	331390	18497601
176	333524	18509670
177	335345	18504305
178	337343	18508636
179	339518	18522629
180	341705	18537068
181	343928	18553248
182	346067	18564700
183	348046	18567548
184	349988	18568313
185	352247	18585801
186	354317	18593132
187	356589	18610931
188	358626	18616313
189	360815	18629464
190	362884	18636312
191	364918	18641246
192	367153	18656318
193	369225	18662993
194	371678	18688749
195	373644	18689873
196	375707	18695718
197	377623	18694281
198	379635	18697526
199	381835	18709947
200	383834	18712402
201	386063	18725995
202	388321	18740828
203	390406	18747146
204	392371	18747721
205	394516	18756784
206	396882	18776187
207	398990	18783223
208	401110	18790801
209	403214	18797483
210	405312	18803821
211	407656	18821444
212	409458	18813940
213	411492	18817115
214	413714	18828838
215	415643	18827107
216	417601	18826726
217	419576	18827032
218	421855	18840933
219	423997	18848627
220	426053	18852396
221	428020	18852167
222	430278	18864735
223	432235	18863985
224	434414	18872912
225	436539	18879369
226	438814	18892226
227	441413	18918835
228	443687	18931333
229	446091	18949210
230	448468	18965733
231	450676	18975053
232	452933	18986277
233	455249	18999840
234	457559	19013069
235	459767	19021907
236	462268	19042723
237	464354	19046320
238	466948	19070637
239	469172	19079670
240	471620	19097688
241	473952	19110863
242	476233	19121837
243	478483	19131476
244	480794	19143487
245	482871	19146061
246	485212	19159007
247	487560	19172119
248	489706	19177208
249	491934	19185461
250	494162	19193589
251	496267	19196875
252	498505	19205288
253	500928	19220673
254	503195	19229943
255	505318	19233670
256	507572	19242344
257	509770	19248758
258	511795	19248631
259	514137	19260373
260	516201	19261622
261	518636	19276633
262	520678	19276985
263	522990	19287244
264	525189	19293284
265	527614	19307516
266	529634	19306874
267	531806	19311713
268	534054	19319281
269	536396	19330125
270	538528	19333367
271	541046	19350385
272	543627	19369480
273	545852	19375756
274	548309	19390209
275	550630	19399763
276	552976	19410063
277	555091	19412245
278	557226	19415035
279	559677	19428819
280	561909	19434884
281	564621	19457412
282	566871	19463926
283	569047	19467825
284	571427	19478652
285	574013	19496382
286	576651	19515738
287	578945	19523326
288	581399	19536237
289	583752	19545643
290	585996	19551335
291	588366	19561171
292	590641	19567787
293	593076	19579593
294	595308	19584641
295	597453	19586789
296	599669	19591218
297	602000	19599346
298	604308	19606672
299	606567	19612361
300	608642	19612053
301	610830	19615351
302	613020	19618669
303	615239	19622912
304	617719	19635391
305	620009	19641723
306	622716	19661221
307	625527	19683814
308	628075	19697997
309	630503	19708309
310	632830	19715431
311	635086	19720258
312	637540	19731156
313	640087	19744858
314	642347	19749627
315	644372	19747170
316	646359	19743516
317	648515	19745038
318	650702	19747506
319	653007	19753490
320	654987	19749597
321	657266	19754730
322	659248	19750908
323	661546	19756556
324	663577	19754180
325	665557	19750313
326	667619	19748866
327	669643	19746311
328	671519	19739415
329	673410	19732963
330	675487	19731997
331	677688	19734622
332	679487	19725556
333	681583	19725101
334	683579	19721771
335	685378	19712778
336	687488	19712775
337	689617	19713279
338	691827	19716071
339	693958	19716598
340	696082	19716886
341	697985	19710948
342	699972	19707378
343	701961	19703884
344	704236	19708402
345	706398	19709738
346	708436	19707614
347	710606	19709133
348	712929	19714843
349	714888	19710504
350	717025	19711040
351	719286	19714997
352	721288	19711818
353	723143	19704651
354	725266	19704773
355	726916	19692081
356	729285	19698880
357	731490	19701208
358	733556	19699773
359	735788	19702775
360	737937	19703539
361	739779	19696127
362	741555	19686958
363	743585	19684575
364	745662	19683434
365	747698	19681227
366	749852	19682096
367	751833	19678425
368	753824	19675015
369	756014	19676798
370	758067	19675027
371	759997	19670036
372	761966	19666077
373	763844	19659798
374	765683	19652530
375	767853	19653769
376	770033	19655255
377	771928	19649454
378	774034	19649031
379	775985	19644685
380	778129	19645225
381	780187	19643565
382	782107	19638453
383	784136	19636076
384	786156	19633496
385	788186	19631151
386	790185	19628054
387	792473	19632112
388	794667	19633797
389	796569	19628278
390	798850	19632117
391	801025	19633291
392	803211	19634745
393	805165	19630500
394	807475	19634941
395	809400	19630004
396	811352	19625735
397	813500	19626220
398	815385	19620351
399	817474	19619376
400	819626	19619937
401	821581	19615759
402	823676	19614943
403	825694	19612290
404	827573	19606347
405	829909	19611209
406	831919	19608364
407	833975	19606599
408	836146	19607534
409	838159	19604748
410	840501	19609666
411	842521	19607032
412	844689	19607830
413	846671	19604339
414	848703	19601987
415	850601	19596557
416	852804	19598133
417	855144	19602853
418	857250	19602185
419	859006	19593531
420	860932	19588761
421	862748	19581518
422	864765	19578866
423	867074	19582804
424	868899	19575788
425	871049	19576128
426	873280	19578258
427	875297	19575588
428	877261	19571723
429	879516	19574363
430	881606	19573311
431	883669	19571645
432	885679	19568817
433	887877	19570130
434	889937	19568385
435	892184	19570755
436	894245	19569041
437	896467	19570825
